dataset,signal,algo,param,N,CR,rate_bps,NMSE_dB,SNR_dB,RMSE,PRD,MAXE,PSNR_dB,fund_amp_relerr,fund_phase_err_deg,THD_abs_error,enc_time_s,dec_time_s,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes
IEEE1159,complex,DWT-Hybrid,E=0.9900,2560,3.33251972988365,4.801171875,-35.8367707115774,35.8367707115774,0.00937357041116461,1.61495886362713,0.064005383873444,39.6808178453805,0.00139616710853617,0.185303275868213,0.00115417886194241,0.0189426,0.01185,1536.375,87296,251136,210176,65536,8400
IEEE1159,complex,DWT-Hybrid,E=0.9990,2560,3.02779420461266,5.284375,-48.3192299823008,48.3192299823008,0.00222731725973539,0.383741263247464,0.00757084657713181,52.1632771161039,0.000782726257794052,0.00913359686465345,5.51947224947669e-05,0.0187719,0.013191,1691,97424,261264,220304,65536,8400
IEEE1159,complex,DWT-Hybrid,E=0.9999,2560,2.96833103848105,5.390234375,-49.0376579431365,49.0376579431365,0.00205050430035175,0.353278414681176,0.00632720450375485,52.8817050769396,0.000780104563292766,0.00927778298330595,7.03044462978669e-05,0.0191634,0.0163624,1724.875,99784,263624,222664,65536,8400
IEEE1159,complex,CS-OMP,M/N=0.05,2560,18.5507246376812,0.8625,-20.0668574908409,20.0668574908409,0.0575971118958018,9.92332294902896,0.401821276571251,23.910904624644,0.000263050132780712,1.12456927338522,0.011409957430904,0.1133746,0.1052982,276,2721,113031168,113031168,5504,5822
IEEE1159,complex,CS-OMP,M/N=0.10,2560,9.62406015037594,1.6625,-24.8845004948865,24.8845004948865,0.0330764244889555,5.69868924672593,0.450051961195906,28.7285476286896,0.00350586828478517,0.189430328355999,0.00163308785783284,0.1594726,0.1571838,532,3745,120999936,120999936,6528,5822
IEEE1159,complex,CS-OMP,M/N=0.20,2560,4.90421455938697,3.2625,-26.8175234964565,26.8175234964565,0.0264769165587121,4.56166958825836,0.397256195632016,30.6615706302596,0.000223348301603643,0.0704290553457097,0.00163570473589952,0.2737211,0.2734373,1044,5793,136937472,136937472,8576,5822
IEEE1159,complex,CS-OMP,M/N=0.30,2560,3.29048843187661,4.8625,-26.718132827681,26.718132827681,0.0267816259564462,4.61416752886326,0.404953117108698,30.5621799614841,0.000680616018619547,0.102574749629417,0.000895660008849317,0.4313166,0.3785741,1556,7841,152875008,152875008,10624,5822
IEEE1159,complex,CS-OMP,M/N=0.40,2560,2.47582205029014,6.4625,-26.8443118090224,26.8443118090224,0.0263953844036538,4.54762253140527,0.392685654076854,30.6883589428255,0.000753623543764686,0.0801138522772554,0.000347919950091952,0.5632733,0.4902509,2068,9889,168812544,168812544,12672,5822
IEEE1159,complex,MMC,n_tot=128,2560,32.8205128205128,0.4875,-30.1160320713155,30.1160320713155,0.018110981127799,3.12031469529323,0.264564330346951,33.9600792051186,0.00244092392282888,0.0196798144292706,0.00373479866036353,6.2691642,0.0003283,156,72214,789014,540828,20480,22924
IEEE1159,complex,MMC,n_tot=192,2560,22.0808625336927,0.724609375,-32.9819245850834,32.9819245850834,0.0130210903489861,2.24338478837672,0.218044753640346,36.8259717188865,0.00239169995960752,0.0358242720989583,0.00197814639547653,5.9002681,0.0003606,231.875,72510,789310,540903.875,20480,22924
IEEE1159,complex,MMC,n_tot=256,2560,16.3122262046993,0.980859375,-34.9052431400195,34.9052431400195,0.0104347350088661,1.79778537451397,0.216391283292841,38.7492902738226,0.00153343585281051,0.0443870926294728,0.000912235668572473,6.2240069,0.0010476,313.875,72920,789720,540985.875,20480,22924
IEEE1159,complex,MMC,n_tot=384,2560,10.8704883227176,1.471875,-37.7243858587463,37.7243858587463,0.00754265578246437,1.29951323528446,0.0815776299161189,41.5684329925494,5.43609689918594e-05,0.00540892606576847,0.000557865773483171,5.9878446,0.0003486,471,74070,790870,541143,20480,22924
IEEE1159,complex,MMC,n_tot=512,2560,8.09006517874778,1.977734375,-39.9707291283639,39.9707291283639,0.00582380902590762,1.00337561824456,0.0629267228070604,43.814776262167,0.0003320742321085,0.0110783214358124,0.000436557674207513,6.1594713,0.0004971,632.875,75178,791978,541304.875,20480,22924
IEEE1159,complex,SVDCS,G=0.005,2560,1.57878507554733,10.134375,-40.7958021075091,40.7958021075091,0.00529606706748686,0.912451720938104,0.163641090704404,44.6398492413121,5.57841303045605e-06,6.72457726280964e-05,3.75433967517852e-05,0.013009,0.0057613,3243,17972,2252340,2197044,81920,28990
IEEE1159,complex,SVDCS,G=0.01,2560,1.65108029667849,9.690625,-37.1027731779429,37.1027731779429,0.00810223662751137,1.3959226082325,0.175601289193905,40.946820311746,5.57841303100377e-06,6.72457726280964e-05,3.75433967517574e-05,0.0119507,0.0048823,3101,17214,2251582,2196286,81920,28990
IEEE1159,complex,SVDCS,G=0.02,2560,1.77285318559557,9.025,-31.4483560116646,31.4483560116646,0.0155355195208782,2.67659214693811,0.240002448272062,35.2924031454677,5.57841303059298e-06,6.72457726280964e-05,3.75433967517852e-05,0.0118487,0.0044133,2888,16245,2250613,2195317,81920,28990
IEEE1159,complex,SVDCS,G=0.03,2560,1.82726623840114,8.75625,-29.0012529042353,29.0012529042353,0.0205911658391621,3.54762212537104,0.306807584879559,32.8453000380384,5.57841303072991e-06,6.72457726280964e-05,3.7543396751813e-05,0.0114519,0.0042017,2802,15879,2250247,2194951,81920,28990
IEEE1159,complex,SVDCS,G=0.05,2560,1.85372918175235,8.63125,-26.788315208623,26.788315208623,0.0265661011058409,4.57703506465279,0.400743963147844,30.6323623424261,5.57841303059298e-06,6.72457726280964e-05,3.75433967517991e-05,0.0115253,0.0049874,2762,15685,2250053,2194757,81920,28990
IEEE1159,complex,SVDCS,G=0.08,2560,1.88235294117647,8.5,-22.7578074998707,22.7578074998707,0.0422525774597801,7.27963534561915,0.371076580960228,26.6018546336738,5.57841303045605e-06,6.72457726280964e-05,3.7543396751813e-05,0.012746,0.0046834,2720,15545,2249913,2194617,81920,28990
IEEE1159,complex,SVDCS,G=0.12,2560,1.8962962962963,8.4375,-21.4361355351005,21.4361355351005,0.0491967943113964,8.47604440465915,0.372128289423027,25.2801826689035,5.57841303072991e-06,6.72457726280964e-05,3.75433967517852e-05,0.0121117,0.0044834,2700,15483,2249851,2194555,81920,28990
