signal,algo,CR,NMSE_dB,SNR_dB,source,rate_bps
notch,CS-OMP,4.904214559386973,-32.69181019365042,32.69181019365042,numerical mirror of supplied MATLAB logic,3.2625
flicker,CS-OMP,4.904214559386973,-64.77596622574171,64.77596622574171,numerical mirror of supplied MATLAB logic,3.2625
spike,CS-OMP,4.904214559386973,-23.95868666281819,23.95868666281819,numerical mirror of supplied MATLAB logic,3.2625
complex,CS-OMP,4.904214559386973,-26.414319920633112,26.414319920633112,numerical mirror of supplied MATLAB logic,3.2625
pure,MMC,29.257142857142856,-79.9210537311646,79.9210537311646,numerical mirror of supplied MATLAB logic,0.546875
sag,MMC,20.30738720872583,-76.56969988442627,76.56969988442627,numerical mirror of supplied MATLAB logic,0.787890625
swell,MMC,25.25277435265105,-76.69529847083851,76.69529847083851,numerical mirror of supplied MATLAB logic,0.63359375
interruption,MMC,31.195734958111192,-75.39145798107143,75.39145798107143,numerical mirror of supplied MATLAB logic,0.512890625
harmonics,MMC,16.423416198877305,-52.95686809660219,52.95686809660219,numerical mirror of supplied MATLAB logic,0.97421875
osc_transient,MMC,25.362229102167184,-34.12943309870558,34.12943309870558,numerical mirror of supplied MATLAB logic,0.630859375
notch,MMC,25.456805469235547,-45.36212254582247,45.36212254582247,numerical mirror of supplied MATLAB logic,0.628515625
flicker,MMC,16.58971243418388,-72.434145262479,72.434145262479,numerical mirror of supplied MATLAB logic,0.964453125
spike,MMC,25.61601000625391,-74.91444771436468,74.91444771436468,numerical mirror of supplied MATLAB logic,0.624609375
complex,MMC,16.312226204699325,-34.90524314001948,34.90524314001948,numerical mirror of supplied MATLAB logic,0.9808593749999999
pure,SVDCS,3.1920199501246884,-88.89092257236597,88.89092257236597,numerical mirror of supplied MATLAB logic,5.0125
sag,SVDCS,3.1200487507617307,-72.84041266443967,72.84041266443967,numerical mirror of supplied MATLAB logic,5.128125
swell,SVDCS,3.099273607748184,-74.40985554073606,74.40985554073606,numerical mirror of supplied MATLAB logic,5.1625000000000005
interruption,SVDCS,2.802408319649699,-62.132981193024136,62.132981193024136,numerical mirror of supplied MATLAB logic,5.709375
harmonics,SVDCS,3.0277942046126554,-79.12345738188657,79.12345738188657,numerical mirror of supplied MATLAB logic,5.284375
osc_transient,SVDCS,1.8802791039294895,-31.879376475878267,31.879376475878267,numerical mirror of supplied MATLAB logic,8.509375
notch,SVDCS,1.9460281261877612,-64.19953928341441,64.19953928341441,numerical mirror of supplied MATLAB logic,8.221875
flicker,SVDCS,2.8828828828828827,-36.766969140253565,36.766969140253565,numerical mirror of supplied MATLAB logic,5.55
spike,SVDCS,1.841726618705036,-25.487557666254297,25.487557666254297,numerical mirror of supplied MATLAB logic,8.6875
complex,SVDCS,1.827266238401142,-29.00152005961097,29.00152005961097,numerical mirror of supplied MATLAB logic,8.75625
